dt[s],5e-10
freqs[MHz],channel,p1[2V/sqrt(Hz)],chi2[TBA]
42.0,9,7.244627019670114e-08,0
42.0,10,8.484148373548426e-08,0
42.0,11,8.754733959116667e-08,0
42.0,12,9.488141347107173e-08,0
42.0,13,7.110812026893761e-08,0
42.0,14,8.681711473757606e-08,0
42.0,15,8.184539614973266e-08,0
44.0,0,7.273621884825174e-08,0
44.0,1,8.24408900795377e-08,0
44.0,2,1.3147560554271153e-07,0
44.0,3,1.539033160064735e-07,0
44.0,4,1.3884131256265472e-07,0
44.0,5,7.28350297525417e-08,0
44.0,6,1.4933231047188085e-07,0
44.0,7,1.1049902588811461e-07,0
44.0,8,1.3631732929498718e-07,0
44.0,9,7.258686316273172e-08,0
44.0,10,8.550636471417289e-08,0
44.0,11,8.77602407674068e-08,0
44.0,12,9.49848360069753e-08,0
44.0,13,7.146173939903364e-08,0
44.0,14,8.86581338447285e-08,0
44.0,15,8.448689468177397e-08,0
46.0,0,7.2730828781976e-08,0
46.0,1,8.29176743192328e-08,0
46.0,2,1.319167741499876e-07,0
46.0,3,1.5378766276787972e-07,0
46.0,4,1.390927667674463e-07,0
46.0,5,7.285745856512473e-08,0
46.0,6,1.4960359563748595e-07,0
46.0,7,1.1212983215637631e-07,0
46.0,8,1.3648870377511094e-07,0
46.0,9,7.260306349398699e-08,0
46.0,10,8.549751979903042e-08,0
46.0,11,8.766034607444828e-08,0
46.0,12,9.499544292928534e-08,0
46.0,13,7.146648633969916e-08,0
46.0,14,8.927646869274254e-08,0
46.0,15,8.660436655889279e-08,0
48.0,0,7.27524509425769e-08,0
48.0,1,8.362894235849214e-08,0
48.0,2,1.3335637348701218e-07,0
48.0,3,1.5441735308904797e-07,0
48.0,4,1.4025418249114536e-07,0
48.0,5,7.303739624999313e-08,0
48.0,6,1.5111261937116413e-07,0
48.0,7,1.1448668044798924e-07,0
48.0,8,1.372981901009305e-07,0
48.0,9,7.267220926874318e-08,0
48.0,10,8.756470282375551e-08,0
48.0,11,8.808696359868357e-08,0
48.0,12,9.504353698649106e-08,0
48.0,13,7.205597006234559e-08,0
48.0,14,9.213812201152842e-08,0
48.0,15,8.592163803152601e-08,0
50.0,0,7.282759214371486e-08,0
50.0,1,8.428626923808475e-08,0
50.0,2,1.3417817743925284e-07,0
50.0,3,1.5527178929966212e-07,0
50.0,4,1.41238775051828e-07,0
50.0,5,7.325023516854794e-08,0
50.0,6,1.5201043250814608e-07,0
50.0,7,1.1513685113696146e-07,0
50.0,8,1.3791144855703124e-07,0
50.0,9,7.267927648738255e-08,0
50.0,10,8.933133339750095e-08,0
50.0,11,8.843098158439891e-08,0
50.0,12,9.512678078698233e-08,0
50.0,13,7.244744238384533e-08,0
50.0,14,9.3055704254476e-08,0
50.0,15,8.427215029003446e-08,0
52.00000000000001,0,7.288574171517433e-08,0
52.00000000000001,1,8.506933693579641e-08,0
52.00000000000001,2,1.3528018831173427e-07,0
52.00000000000001,3,1.561209538240824e-07,0
52.00000000000001,4,1.433889218271253e-07,0
52.00000000000001,5,7.329333926249311e-08,0
52.00000000000001,6,1.5323642316395618e-07,0
52.00000000000001,7,1.1652371647711093e-07,0
52.00000000000001,8,1.3951281268254502e-07,0
52.00000000000001,9,7.2730828781976e-08,0
52.00000000000001,10,9.161102744180957e-08,0
52.00000000000001,11,8.899712584360578e-08,0
52.00000000000001,12,9.526397874614016e-08,0
52.00000000000001,13,7.320460640624312e-08,0
52.00000000000001,14,9.38640353282298e-08,0
52.00000000000001,15,8.751616335666551e-08,0
54.0,0,7.298401157636266e-08,0
54.0,1,8.563943632301248e-08,0
54.0,2,1.3613601562043623e-07,0
54.0,3,1.5811412046781603e-07,0
54.0,4,1.4418942474745546e-07,0
54.0,5,7.35865180740326e-08,0
54.0,6,1.550139016834314e-07,0
54.0,7,1.1693199515365874e-07,0
54.0,8,1.3995248157046558e-07,0
54.0,9,7.276877650385592e-08,0
54.0,10,9.312250309827308e-08,0
54.0,11,8.921539241096665e-08,0
54.0,12,9.552749255728269e-08,0
54.0,13,7.360770709606451e-08,0
54.0,14,9.430218670252834e-08,0
54.0,15,8.832173515348774e-08,0
56.0,0,7.331511801402713e-08,0
56.0,1,8.634600625345411e-08,0
56.0,2,1.3711506477567187e-07,0
56.0,3,1.618022790430217e-07,0
56.0,4,1.463804345888376e-07,0
56.0,5,7.450757834801931e-08,0
